subject,parcel,retrieval,hmm (-2TR),hmm (-1 TR),reinstatement (z) (-7 to -3 TR)
3013,22,0,0,0,0.049344435
3013,22,0,1,0,0.094834348
3013,22,0,1,0,0.0300446
3013,22,0,0,1,0.080131024
3013,22,0,0,0,-0.084631276
3013,22,0,1,0,0.016760915
3013,22,1,0,1,-0.097744144
3013,22,1,1,0,0.104114437
3013,22,1,0,0,-0.026666169
3013,22,1,0,1,-0.007759373
3013,22,1,1,0,0.064962327
3013,22,1,0,1,0.047694014
3013,22,1,0,1,-0.041158313
3013,22,0,1,0,0.073217335
3013,22,0,0,1,0.02140658
3013,22,1,0,1,-0.103829038
3013,22,1,0,0,0.056369565
3013,22,0,0,0,-0.041258025
3019,22,1,0,1,0.026708666
3019,22,1,0,0,-0.04399092
3019,22,1,1,0,-0.029636912
3019,22,1,0,0,-0.031710051
3019,22,1,0,0,-0.005970557
3019,22,1,0,1,-0.012710692
3019,22,1,0,1,0.026488614
3019,22,1,0,1,0.098316557
3019,22,0,0,0,0.023955722
3019,22,1,0,0,0.01566029
3019,22,0,0,0,0.004906891
3019,22,0,0,0,-0.041094537
3019,22,1,0,0,0.022704053
3019,22,1,0,0,0.077820933
3019,22,1,0,1,0.148474616
3019,22,1,0,1,0.054928638
3019,22,1,0,0,0.082897627
3019,22,1,0,0,-0.034557181
3019,22,0,0,0,0.042472092
3019,22,0,1,0,-0.067524859
3019,22,0,0,1,-0.003294824
3019,22,0,0,1,0.027162955
3019,22,0,1,0,0.080816308
3019,22,0,1,0,-0.018480066
3019,22,0,0,1,0.077361788
3019,22,1,0,0,0.009685616
3019,22,1,0,0,0.000355333
3019,22,0,0,0,-0.051518337
3019,22,1,0,0,-0.009269938
3019,22,1,0,0,0.124178736
3019,22,1,0,0,0.080221845
3019,22,1,0,0,-0.003969359
3019,22,0,0,0,0.072046761
3019,22,1,0,0,-0.007654403
3019,22,1,0,0,0.0216838
3019,22,1,0,0,0.086857744
3019,22,1,1,0,0.058451428
3022,22,1,0,0,-0.059591078
3022,22,1,1,0,0.089132078
3022,22,0,0,1,-0.049592935
3022,22,1,0,1,0.050934615
3022,22,1,1,0,-0.004797561
3022,22,0,0,0,-0.038626426
3022,22,0,0,0,-0.086315182
3022,22,0,0,1,-0.074954943
3022,22,0,0,0,0.054771052
3022,22,0,0,0,-0.002725716
3022,22,1,0,1,0.002616857
3022,22,0,1,0,-0.003151631
3022,22,0,1,0,-0.023748295
3022,22,0,0,1,-0.061220719
3022,22,0,0,1,-0.048323649
3022,22,1,0,0,0.077444483
3022,22,0,1,0,-0.016957281
3022,22,1,0,0,-0.088136163
3022,22,1,1,0,-0.021452865
3022,22,1,0,1,0.043244255
3022,22,1,0,1,0.150799031
3022,22,1,0,0,-0.215084245
3022,22,1,0,0,0.065547231
3022,22,1,0,0,-0.058540902
3022,22,1,1,0,-0.07703044
3022,22,1,0,0,-0.012216948
3022,22,1,0,0,-0.060663726
3022,22,1,0,1,-0.092369113
3022,22,0,0,0,0.062579955
3022,22,1,1,0,-0.035940619
3022,22,1,0,0,-0.115998566
3022,22,1,1,0,0.090780541
3022,22,0,0,1,0.027339257
3022,22,0,1,0,0.021173266
3022,22,1,0,0,-0.034341337
3022,22,1,0,0,-0.012156349
3022,22,1,0,0,0.111011536
3022,22,1,0,0,-0.126593309
3022,22,1,1,0,0.14345037
3022,22,1,0,0,-0.081618467
3022,22,0,1,0,-0.061605613
3022,22,0,0,0,0.021231087
3022,22,0,0,0,0.102047776
3022,22,0,0,0,-0.017677327
3022,22,0,1,0,0.029748179
3022,22,0,0,0,-0.048511291
3022,22,1,1,0,0.133604505
3022,22,1,0,0,-0.060497662
3022,22,0,0,0,0.110805497
3022,22,1,0,0,2.68E-05
3022,22,0,0,0,-0.002000441
3022,22,1,0,0,0.113007002
3022,22,0,1,0,-0.173004444
3022,22,0,1,0,0.032271632
3022,22,1,0,0,-0.130979196
3022,22,1,0,0,-0.044403295
3022,22,0,0,0,-0.006888315
3022,22,1,1,0,0.005796023
3022,22,1,1,0,0.095230267
3022,22,1,1,0,0.044862163
3022,22,1,0,0,-0.116689949
3022,22,1,0,1,-0.141901244
3022,22,1,0,0,-0.036861333
3022,22,0,0,0,0.090202885
3025,22,1,0,0,-0.021287036
3025,22,1,1,0,-0.191141136
3025,22,1,0,0,-0.179676659
3025,22,1,0,0,-0.115927802
3025,22,1,1,0,-0.153880068
3025,22,1,0,1,0.122902425
3025,22,1,0,0,0.086262617
3025,22,1,0,1,-0.012758809
3025,22,1,0,0,-0.026523331
3025,22,1,0,0,-0.011711221
3025,22,1,0,0,0.027978289
3025,22,1,0,1,-0.042727121
3025,22,1,0,1,-0.119481119
3025,22,1,0,1,6.95E-05
3025,22,1,0,0,0.103657954
3025,22,1,0,0,0.136497427
3025,22,1,0,0,-0.112707703
3025,22,1,0,0,0.058738126
3025,22,1,1,0,-0.001961106
3025,22,0,0,0,-0.024922158
3025,22,0,0,1,-0.161860048
3025,22,1,0,1,-0.02936703
3025,22,1,0,1,0.082887773
3025,22,1,0,0,0.132276802
3025,22,1,0,0,0.003686914
3025,22,1,0,0,-0.012261193
3025,22,0,0,0,-0.107995942
3025,22,0,0,0,-0.126120573
3025,22,1,1,0,-0.050409356
3025,22,1,0,0,0.029314474
3025,22,0,0,1,0.067135535
3025,22,1,0,0,-0.139678705
3025,22,1,0,0,-0.086795296
3025,22,1,0,0,0.034769845
3025,22,0,0,0,0.023025614
3025,22,1,1,0,-0.144472684
3025,22,1,0,0,0.01219647
3025,22,1,1,0,0.122474797
3025,22,1,0,0,-0.04014217
3025,22,1,1,0,-0.118246894
3025,22,1,0,1,0.035478002
3025,22,0,0,0,0.104181726
3025,22,0,1,0,0.022500405
3025,22,0,0,1,0.035424484
3025,22,0,1,0,-0.006493761
3025,22,0,0,0,0.092291494
3025,22,0,1,0,-0.052194179
3025,22,0,1,0,0.045758478
3025,22,0,0,0,-0.049142193
3025,22,0,0,0,-0.033326481
3025,22,1,0,1,0.107349751
3025,22,1,0,0,-0.005638341
3025,22,1,0,0,0.037870893
3025,22,1,0,0,-0.08504749
3025,22,1,0,0,0.006877187
3025,22,1,0,0,-0.013196518
3025,22,1,0,0,0.018014974
3025,22,1,0,0,0.056956758
3025,22,1,0,0,0.087180156
3025,22,1,0,0,0.119061791
3025,22,1,0,0,0.18865662
3025,22,1,1,0,-0.054824743
3025,22,1,1,0,-0.155541261
3025,22,1,0,0,0.073605983
3025,22,1,0,0,0.006039259
3025,22,1,0,1,0.002293044
3025,22,1,0,0,0.016955708
3025,22,0,0,0,-0.148185857
3031,22,1,0,0,-0.000544667
3031,22,0,0,1,0.007642248
3031,22,1,0,0,-0.021369814
3031,22,1,0,0,0.068843161
3031,22,1,1,0,-0.082096163
3031,22,0,0,0,-0.01905529
3031,22,0,0,1,-0.013568895
3031,22,1,0,0,-0.124445708
3031,22,0,0,0,0.04601415
3031,22,0,0,1,-0.021485847
3031,22,1,0,1,0.053350535
3031,22,0,0,0,0.111819253
3031,22,1,0,0,-0.002489623
3031,22,1,0,0,-0.033020739
3031,22,1,0,0,0.169405303
3031,22,0,0,0,-0.078103413
3031,22,0,1,0,-0.020201912
3031,22,0,0,0,-0.038424592
3031,22,0,0,1,-0.125401082
3031,22,1,1,0,-0.039041484
3031,22,1,0,1,-0.059213471
3031,22,1,1,0,0.048526713
3031,22,1,1,0,0.019359483
3031,22,1,0,1,-0.070886467
3031,22,0,0,0,0.205741181
3031,22,0,0,1,0.031249927
3031,22,0,0,0,0.012276342
3031,22,1,0,0,-0.010135677
3031,22,1,0,1,0.032499893
3031,22,1,0,0,0.078514385
3031,22,1,0,0,0.178891614
3031,22,1,0,0,0.127895097
3031,22,1,0,0,0.042630619
3031,22,1,0,0,-0.026932788
3031,22,1,1,0,-0.044568163
3037,22,1,1,0,0.000424826
3037,22,1,0,1,0.016563211
3037,22,1,0,1,0.076170856
3037,22,0,1,0,-0.055776621
3037,22,0,0,1,0.070419992
3037,22,1,0,0,0.020944882
3037,22,1,1,0,0.021969364
3037,22,0,0,0,-0.002393729
3037,22,0,1,0,0.096136326
3037,22,0,0,0,-0.095084867
3037,22,0,0,1,-0.000513061
