subject,run,scene,TR (scene),TR (run),sec (scene)
1023,3,4,26,149,31.2986951
1023,3,4,45,168,54.90837056
1023,3,5,14,198,17.0382859
1023,3,5,14,198,17.57294659
1023,3,5,42,226,50.99059157
1023,4,1,19,19,23.95543323
1023,4,1,26,26,31.4724843
1023,4,2,21,61,25.29426554
1023,4,2,28,68,33.88367454
1023,4,3,6,78,7.861153873
1023,4,3,18,90,21.95592154
1023,4,3,21,93,25.91266918
1023,4,3,30,102,37.01792293
1023,4,4,14,119,17.82773088
1023,4,4,25,130,31.09190673
1023,4,5,5,180,7.192493169
1023,4,5,26,200,31.4280492
1023,4,5,37,211,44.98106657
1023,4,5,55,229,66.8740583
1023,4,5,56,230,67.37763278
1023,5,1,16,16,19.24632219
1023,5,1,34,34,41.01717574
1023,5,1,55,55,66.25033965
1023,5,2,11,78,13.70135057
1023,5,2,21,88,25.58477409
1023,5,2,27,94,32.51161071
1023,5,2,46,113,55.61768412
1023,5,4,8,166,10.52980688
1023,5,4,16,174,19.32081139
1023,5,4,24,182,29.875035
1023,5,5,4,212,5.275866182
1023,5,5,31,239,37.88653657
1023,6,1,7,7,8.528666726
1023,6,1,11,11,13.48839743
1023,6,1,22,22,26.83390814
1023,6,1,40,40,48.65327477
1023,6,3,10,75,12.94352645
1023,6,3,15,80,18.91293122
1023,6,3,16,81,19.41497086
1023,6,3,16,81,19.91727966
1023,6,3,25,90,30.46623788
1023,6,3,39,104,47.69077089
1023,6,4,21,135,25.96194868
1023,6,5,15,185,19.00391735
1023,6,5,20,190,24.75374783
1023,6,5,24,194,28.8403506
1023,6,5,32,202,38.88580735
1023,7,1,17,17,20.82698473
1023,7,1,45,45,54.74399401
1023,7,2,8,60,10.15985495
1023,7,2,23,75,28.0066464
1023,7,2,31,83,37.52063472
1023,7,2,36,88,43.68545602
1023,7,2,46,98,55.78645251
1023,7,3,9,121,11.3275119
1023,7,3,15,127,19.12736382
1023,7,3,28,140,34.55097768
1023,7,3,40,152,48.85800994
1023,8,1,4,4,5.1935858
1023,8,1,16,16,20.21017995
1023,8,1,34,34,41.85726424
1023,8,2,5,43,6.896678601
1023,8,2,20,58,24.28754128
1023,8,2,27,65,33.08837428
1023,8,2,44,82,53.52864575
1023,8,3,20,107,24.45664986
1023,8,3,39,127,47.98218231
1023,8,3,43,130,52.65363811
1023,8,4,11,144,13.73257119
1023,8,4,19,152,23.08570679
1023,8,5,12,171,14.95423062
1023,8,5,19,178,23.08590815
1023,8,5,29,188,34.80812016
1023,8,5,43,202,52.60904069
1023,8,5,52,211,63.20594922
1023,8,5,68,227,82.3439161
1023,9,1,3,3,4.567999232
1023,9,1,15,15,18.95919737
1023,9,1,23,23,28.33284704
1023,9,1,41,41,50.06069433
1023,9,2,9,56,11.24026004
1023,9,2,15,62,19.0043265
1023,9,2,24,71,29.42539118
1023,9,3,14,91,17.08308224
1023,9,3,34,111,41.06512644
1023,9,3,39,116,47.94283625
1023,9,3,51,128,61.28954719
1023,9,3,64,141,76.80518894
1023,9,4,4,154,5.898634838
1023,9,4,17,167,20.62043099
1023,9,5,18,195,22.67270095
1023,9,5,26,203,32.09777338
1023,10,1,7,7,8.440253152
1023,10,1,19,19,23.70433648
1023,10,1,38,38,45.60408842
1023,10,2,7,50,9.365931137
1023,10,3,1,73,2.063550753
1023,10,3,3,75,4.314556523
1023,10,3,17,89,21.33358003
1023,10,3,26,98,31.93441982
1023,10,4,8,109,10.57104781
1023,10,4,11,112,14.11844897
1023,10,5,60,175,72.46217694
1023,10,5,64,179,77.59427909
1023,10,5,71,186,85.52020007
1026,1,5,73,247,88.18554077
1026,2,1,10,10,12.40395314
1026,2,2,35,81,42.8917729
1026,2,4,28,143,34.09107449
1026,2,5,10,163,12.988386
1026,3,1,15,15,19.16058097
1026,3,3,22,103,27.04264454
1026,3,4,18,140,21.91305607
1026,4,2,10,50,12.23731251
1026,4,4,21,125,25.95481281
1026,4,5,18,191,22.62069679
1026,4,5,53,226,64.24035276
1026,5,1,12,12,15.35368357
1026,5,2,0,67,0.028339177
1026,5,2,25,92,30.11849092
1026,5,2,53,120,64.03011134
1026,5,4,45,202,54.39637354
1026,6,1,40,40,48.27113616
1026,6,3,19,83,23.86965979
1026,7,1,7,7,9.149922005
1026,7,1,16,16,19.78177875
1026,7,2,32,84,38.79819438
1026,7,2,51,104,62.37050452
1026,7,3,19,131,23.00312917
1026,7,3,28,140,33.66986929
1026,8,2,40,77,48.43578337
1026,8,5,14,171,17.9196033
1026,9,1,17,17,21.03628254
1026,9,1,41,41,49.89240765
