subject,parcel,retrieval,reinstatement.m10TR,reinstatement.m9TR,reinstatement.m8TR,reinstatement.m7TR,reinstatement.m6TR,reinstatement.m5TR,reinstatement.m4TR,reinstatement.m3TR,reinstatement.m2TR,reinstatement.m1TR,reinstatement.0TR,reinstatement.1TR,reinstatement.2TR,reinstatement.3TR,shift.m10TR,shift.m9TR,shift.m8TR,shift.m7TR,shift.m6TR,shift.m5TR,shift.m4TR,shift.m3TR,shift.m2TR,shift.m1TR,shift.0TR,shift.1TR,shift.2TR,shift.3TR
1005,19,1,-0.362197684,-0.465790351,-0.385726038,-0.379143234,-0.355410158,-0.191138722,0.108604794,-0.12301409,-0.401577287,-0.284147155,-0.388170715,-0.350046702,-0.271265449,0.122838352,0,0,0,0,0,0,0,0,0,0,0,0,0,nan
1005,19,1,-0.09232543,-0.060751548,0.018146558,-0.221758068,-0.374599839,-0.08487921,0.096251051,0.441166941,0.428232447,0.210742077,-0.222587323,-0.168141515,0.1805497,0.214917259,nan,nan,nan,nan,nan,nan,0,0,0,1,0,0,1,0
1005,19,1,-0.071477686,-0.121214974,-0.065854414,-0.062807872,0.372117815,0.249372747,-0.13709507,-0.11730538,0.01590164,-0.099301486,-0.072148813,0.111636488,0.155275975,-0.303338586,0,0,1,0,0,0,1,0,0,1,0,nan,nan,nan
1005,19,1,-0.255366554,0.009311493,0.127061236,0.166568426,0.051208561,0.028734528,-0.092094886,0.007265278,0.0443583,-0.14684643,0.01392366,0.118842938,0.228103474,0.156771628,nan,0,0,0,0,0,0,0,0,1,0,0,0,0
1005,19,1,0.038750723,-0.179541686,0.063462806,-0.095398626,-0.180048522,-0.059964892,-0.030709828,0.136247721,0.187359488,-0.003543291,-0.147916936,-0.11264678,0.039859007,0.035474067,0,0,0,0,0,0,1,0,0,0,0,0,0,nan
1005,19,1,-0.032878467,-0.023181161,0.035224289,0.03687712,0.042132188,-0.045805203,0.134570017,0.160369537,0.052847894,0.148254376,0.216035925,-0.0652661,-0.193603387,-0.093172555,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1005,19,1,0.00502904,-0.116891737,-0.093226505,-0.05867244,-0.131042761,-0.362186191,0.055497494,0.085816162,-0.060918438,-0.063253731,0.222475949,0.112912816,0.222303989,-0.021322867,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1005,19,1,0.055497494,0.085816162,-0.060918438,-0.063253731,0.222475949,0.112912816,0.222303989,-0.021322867,-0.060106676,0.022604963,0.205588816,0.139159045,0.122027411,-0.144250428,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1005,19,1,0.099611187,-0.159500794,0.063035347,-0.304765653,-0.107416256,-0.153839588,-0.475741563,-0.513917938,-0.33955812,-0.46053344,-0.477688334,-0.341270948,-0.247368054,-0.074650144,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1005,19,1,-0.407082789,-0.517859581,-0.102719151,-0.344953759,-0.008777048,0.012705474,0.367465182,0.040921831,-0.129756656,0.015261126,0.111357525,0.454194222,0.32601585,0.518307067,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1005,19,1,0.454194222,0.32601585,0.518307067,0.221906331,0.014465182,-0.117703376,0.006560591,0.022620096,-0.011216904,0.213279345,0.032828749,0.076802491,0.145137097,-0.389061756,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1005,19,1,0.094189717,-0.224135933,-0.045976582,-0.0165325,-0.318946786,-0.251947588,-0.078337533,-0.205693106,-0.393768446,-0.062057995,-0.029779988,0.061791178,-0.242895164,0.131523118,nan,nan,nan,0,0,0,0,1,0,0,0,0,1,0
1005,19,1,0.111161324,0.158532841,0.110023498,0.011692913,0.007154065,0.071606258,-0.01644625,0.259290263,0.440488776,0.188983964,-0.11768878,-0.064435541,-0.010038271,-0.147136537,nan,nan,nan,0,0,0,1,0,0,0,1,0,0,0
1005,19,1,0.188983964,-0.11768878,-0.064435541,-0.010038271,-0.147136537,0.316269761,0.019305914,0.070324726,0.027918323,-0.177939212,0.051720466,0.018705361,-0.11570196,-0.134916668,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1005,19,1,-0.030139383,0.010983985,0.214225403,0.202951217,0.097062554,-0.016282284,-0.006941678,0.120065588,-0.196412659,-0.056690818,-0.075010444,0.08299511,-0.113820833,0.063296069,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1005,19,1,-0.393424516,0.102568067,0.007241755,-0.291670283,-0.041274558,0.01348411,-0.270584665,0.113026454,0.214441668,-0.096117161,-0.06055578,0.07238316,-0.085736568,-0.211905921,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
